Kingdom	Phylum	Class	Order	Family	Genus	Species	NCBI_tax_id	relative_abundance	Species1	Species2	Species3	Species4	Species5	Species6	Species7	Species8	Species9	Species10	Species11	Species12	Species13
Bacteria	NA	NA	NA	NA	NA	NA	2	99.99128		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archaea	NA	NA	NA	NA	NA	NA	2157	0.00872		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Bacteroidetes	NA	NA	NA	NA	NA	2|976	68.64541		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	NA	NA	NA	NA	NA	2|1239	27.27544		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Actinobacteria	NA	NA	NA	NA	NA	2|201174	4.05716		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Proteobacteria	NA	NA	NA	NA	NA	2|1224	0.01326		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archaea	Euryarchaeota	NA	NA	NA	NA	NA	2157|28890	0.00872		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA	NA	2|976|200643	68.64541		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	2|1239|186801	24.74006		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Actinobacteria	Coriobacteriia	NA	NA	NA	NA	2|201174|84998	2.59399		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Negativicutes	NA	NA	NA	NA	2|1239|909932	1.60533		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	NA	2|201174|1760	1.46317		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Bacilli	NA	NA	NA	NA	2|1239|91061	0.43144		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Erysipelotrichia	NA	NA	NA	NA	2|1239|526524	0.31891		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Firmicutes_unclassified	NA	NA	NA	NA	2|1239|	0.1797		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA	NA	2|1224|28221	0.01326		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archaea	Euryarchaeota	Methanobacteria	NA	NA	NA	NA	2157|28890|183925	0.00872		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA	2|976|200643|171549	68.64541		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA	2|1239|186801|186802	24.74006		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	NA	NA	NA	2|201174|84998|84999	2.3633		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	NA	NA	NA	2|1239|909932|1843488	1.60533		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	NA	NA	NA	2|201174|1760|85004	1.46317		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Bacilli	Lactobacillales	NA	NA	NA	2|1239|91061|186826	0.43144		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	NA	NA	NA	2|1239|526524|526525	0.31891		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	NA	NA	NA	2|201174|84998|1643822	0.23069		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	NA	NA	NA	2|1239||	0.1797		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	NA	NA	NA	2|1224|28221|213115	0.01326		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	NA	NA	NA	2157|28890|183925|2158	0.00872		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	NA	2|976|200643|171549|171552	42.29911		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	NA	NA	2|976|200643|171549|815	16.93112		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	NA	2|1239|186801|186802|541000	10.78482		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA	2|1239|186801|186802|186803	8.05043		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	NA	NA	2|976|200643|171549|171550	4.6905		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	NA	NA	2|1239|186801|186802|216572	4.50912		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	NA	NA	2|976|200643|171549|2005525	3.13324		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	NA	NA	2|201174|84998|84999|84107	2.3633		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	NA	NA	2|1239|909932|1843488|909930	1.60533		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	NA	NA	2|201174|1760|85004|31953	1.46317		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	NA	NA	2|976|200643|171549|1853231	1.44968		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	NA	NA	2|1239|186801|186802|186806	0.89539		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	NA	NA	2|1239|91061|186826|1300	0.41766		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA	NA	2|1239|526524|526525|128827	0.31891		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	NA	NA	2|1239|186801|186802|186804	0.3052		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	NA	NA	2|201174|84998|1643822|1643826	0.23069		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA	NA	2|1239|186801|186802|31979	0.19509		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	NA	NA	2|1239|||	0.1797		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	NA	NA	2|976|200643|171549|2005519	0.14176		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	NA	NA	2|1239|91061|186826|33958	0.01378		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	NA	NA	2|1224|28221|213115|194924	0.01326		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	NA	NA	2157|28890|183925|2158|2159	0.00872		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA	2|976|200643|171549|171552|838	42.02279		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
