Kingdom	Phylum	Class	Order	Family	Genus	Species	NCBI_tax_id	Patient_ASD	Patient_9	Patient_7	Patient_6	Patient_5	Patient_4	Patient_3	Patient_2	Patient_1	Patient_11
Archaea	NA	NA	NA	NA	NA	NA	2157	0	0.13668	0	0	0	0	0	0	0	0
Archaea	Euryarchaeota	NA	NA	NA	NA	NA	2157|28890	0	0.13668	0	0	0	0	0	0	0	0
Archaea	Euryarchaeota	Methanobacteria	NA	NA	NA	NA	2157|28890|183925	0	0.13668	0	0	0	0	0	0	0	0
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	NA	NA	NA	2157|28890|183925|2158	0	0.13668	0	0	0	0	0	0	0	0
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	NA	NA	2157|28890|183925|2158|2159	0	0.13668	0	0	0	0	0	0	0	0
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	NA	2157|28890|183925|2158|2159|2172	0	0.13668	0	0	0	0	0	0	0	0
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	smithii	2157|28890|183925|2158|2159|2172|2173	0	0.13668	0	0	0	0	0	0	0	0
Bacteria	NA	NA	NA	NA	NA	NA	2	100.0	99.72804	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
Bacteria	Actinobacteria	NA	NA	NA	NA	NA	2|201174	45.05343	6.9124	17.77563	40.87026	2.5262	38.73555	41.90943	18.72919	32.93604	28.95038
Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	NA	2|201174|1760	41.81803	3.05349	15.64225	35.68833	0.37618	26.49416	39.53616	17.02015	28.57733	24.35645
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	NA	NA	NA	2|201174|1760|2037	0	0	0.00405	1.0244	0	0.05223	0.06928	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	NA	NA	2|201174|1760|2037|2049	0	0	0.00405	1.0244	0	0.05223	0.06928	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	NA	2|201174|1760|2037|2049|1654	0	0	0.00405	1.0244	0	0.05223	0.06928	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	graevenitzii	2|201174|1760|2037|2049|1654|55565	0	0	0	0.03733	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	johnsonii	2|201174|1760|2037|2049|1654|544581	0	0	0	0.13625	0	0.04567	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	naeslundii	2|201174|1760|2037|2049|1654|1655	0	0	0	0.10139	0	0	0.00351	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	odontolyticus	2|201174|1760|2037|2049|1654|1660	0	0	0	0.27717	0	0.00656	0.0126	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	oris	2|201174|1760|2037|2049|1654|544580	0	0	0	0.2292	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	sp_HMSC035G02	2|201174|1760|2037|2049|1654|1739406	0	0	0	0.08087	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	sp_HPA0247	2|201174|1760|2037|2049|1654|1203556	0	0	0.00405	0.00978	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	sp_ICM47	2|201174|1760|2037|2049|1654|936548	0	0	0	0.10929	0	0	0.05318	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	sp_oral_taxon_448	2|201174|1760|2037|2049|1654|712124	0	0	0	0.04312	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	NA	NA	NA	2|201174|1760|85004	41.81803	3.05349	15.6382	34.59042	0.37187	26.44193	39.46688	17.02015	28.57733	24.35645
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	NA	NA	2|201174|1760|85004|31953	41.81803	3.05349	15.6382	34.59042	0.37187	26.44193	39.46688	17.02015	28.57733	24.35645
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA	2|201174|1760|85004|31953|1678	41.81803	3.05349	15.6382	34.59042	0.37187	26.44193	39.46688	17.02015	28.57733	24.35645
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	adolescentis	2|201174|1760|85004|31953|1678|1680	0	1.69192	5.08368	22.35375	0	9.27745	31.9331	0	6.30082	4.06482
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	animalis	2|201174|1760|85004|31953|1678|28025	0	0.17649	0	1.05681	0.23492	0	0	0	0.53006	1.34086
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	bifidum	2|201174|1760|85004|31953|1678|1681	7.9944	0	4.01163	0	0	0	0	0	11.00709	0
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	breve	2|201174|1760|85004|31953|1678|1685	5.47021	0	0	0	0	0	0	0	0.09289	1.42986
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	longum	2|201174|1760|85004|31953|1678|216816	9.37838	1.18509	0.8004	11.17986	0.13695	6.76837	3.71649	4.1971	6.04289	8.85495
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	pseudocatenulatum	2|201174|1760|85004|31953|1678|28026	18.97504	0	5.74249	0	0	10.3961	3.81728	12.82306	4.60359	8.66596
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	NA	NA	NA	2|201174|1760|85007	0	0	0	0.07351	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	NA	NA	2|201174|1760|85007|1653	0	0	0	0.07351	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	NA	2|201174|1760|85007|1653|1716	0	0	0	0.07351	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	durum	2|201174|1760|85007|1653|1716|61592	0	0	0	0.07351	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	NA	NA	NA	2|201174|1760|85009	0	0	0	0	0.00431	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	NA	NA	2|201174|1760|85009|31957	0	0	0	0	0.00431	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	NA	2|201174|1760|85009|31957|1743	0	0	0	0	0.00431	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	freudenreichii	2|201174|1760|85009|31957|1743|1744	0	0	0	0	0.00431	0	0	0	0	0
Bacteria	Actinobacteria	Coriobacteriia	NA	NA	NA	NA	2|201174|84998	3.23541	3.85891	2.13338	5.18192	2.15002	12.24139	2.37327	1.70904	4.35871	4.59393
